objectid,parentid,title,type,date,creator,is_part_of,publication_place,trove_url,source_url,abstract,description,subject,extent,format,language,rights,location,latitude,longitude,filename,pages
work-233114536,,The Work of the Chief Weather Bureau of Australasia. (1 January 1897),Article/Journal or magazine article;Article,1897,,The Antipodean.,International/Other; International,https://trove.nla.gov.au/work/233114536,https://nla.gov.au/nla.obj-163825425,,,Australia--Periodicals.; New Zealand--Periodicals.,,compound_object,,,,,,,
work-233114536-0,work-233114536,The Work of the Chief Weather Bureau of Australasia. (1 January 1897),Article/Journal or magazine article;Article,1897,,The Antipodean.,International/Other; International,https://trove.nla.gov.au/work/233114536,https://nla.gov.au/nla.obj-163825425,,,Australia--Periodicals.; New Zealand--Periodicals.,,image/jpeg,,,,,,work-233114536-0.jpg,
work-233114536-1,work-233114536,The Work of the Chief Weather Bureau of Australasia. (1 January 1897),Article/Journal or magazine article;Article,1897,,The Antipodean.,International/Other; International,https://trove.nla.gov.au/work/233114536,https://nla.gov.au/nla.obj-163825425,,,Australia--Periodicals.; New Zealand--Periodicals.,,image/jpeg,,,,,,work-233114536-1.jpg,
work-233114536-2,work-233114536,The Work of the Chief Weather Bureau of Australasia. (1 January 1897),Article/Journal or magazine article;Article,1897,,The Antipodean.,International/Other; International,https://trove.nla.gov.au/work/233114536,https://nla.gov.au/nla.obj-163825425,,,Australia--Periodicals.; New Zealand--Periodicals.,,image/jpeg,,,,,,work-233114536-2.jpg,
work-233114536-3,work-233114536,The Work of the Chief Weather Bureau of Australasia. (1 January 1897),Article/Journal or magazine article;Article,1897,,The Antipodean.,International/Other; International,https://trove.nla.gov.au/work/233114536,https://nla.gov.au/nla.obj-163825425,,,Australia--Periodicals.; New Zealand--Periodicals.,,image/jpeg,,,,,,work-233114536-3.jpg,
work-233114536-4,work-233114536,The Work of the Chief Weather Bureau of Australasia. (1 January 1897),Article/Journal or magazine article;Article,1897,,The Antipodean.,International/Other; International,https://trove.nla.gov.au/work/233114536,https://nla.gov.au/nla.obj-163825425,,,Australia--Periodicals.; New Zealand--Periodicals.,,image/jpeg,,,,,,work-233114536-4.jpg,
work-233114536-5,work-233114536,The Work of the Chief Weather Bureau of Australasia. (1 January 1897),Article/Journal or magazine article;Article,1897,,The Antipodean.,International/Other; International,https://trove.nla.gov.au/work/233114536,https://nla.gov.au/nla.obj-163825425,,,Australia--Periodicals.; New Zealand--Periodicals.,,image/jpeg,,,,,,work-233114536-5.jpg,
work-233114536-6,work-233114536,The Work of the Chief Weather Bureau of Australasia. (1 January 1897),Article/Journal or magazine article;Article,1897,,The Antipodean.,International/Other; International,https://trove.nla.gov.au/work/233114536,https://nla.gov.au/nla.obj-163825425,,,Australia--Periodicals.; New Zealand--Periodicals.,,image/jpeg,,,,,,work-233114536-6.jpg,
work-233114536-7,work-233114536,The Work of the Chief Weather Bureau of Australasia. (1 January 1897),Article/Journal or magazine article;Article,1897,,The Antipodean.,International/Other; International,https://trove.nla.gov.au/work/233114536,https://nla.gov.au/nla.obj-163825425,,,Australia--Periodicals.; New Zealand--Periodicals.,,image/jpeg,,,,,,work-233114536-7.jpg,
work-246291183,,Kosciusko in Winter. (1 January 1900),Article/Journal or magazine article;Article,1900,,Wragge's Australasian almanac and weather guide for land and sea.,Australia/Queensland; Australia,https://trove.nla.gov.au/work/246291183,https://nla.gov.au/nla.obj-2914335172,,,"Almanacs, Australian.; Meteorology--Australia.",,compound_object,,,,,,,
work-246291183-0,work-246291183,Kosciusko in Winter. (1 January 1900),Article/Journal or magazine article;Article,1900,,Wragge's Australasian almanac and weather guide for land and sea.,Australia/Queensland; Australia,https://trove.nla.gov.au/work/246291183,https://nla.gov.au/nla.obj-2914335172,,,"Almanacs, Australian.; Meteorology--Australia.",,image/jpeg,,,,,,work-246291183-0.jpg,
work-246291183-1,work-246291183,Kosciusko in Winter. (1 January 1900),Article/Journal or magazine article;Article,1900,,Wragge's Australasian almanac and weather guide for land and sea.,Australia/Queensland; Australia,https://trove.nla.gov.au/work/246291183,https://nla.gov.au/nla.obj-2914335172,,,"Almanacs, Australian.; Meteorology--Australia.",,image/jpeg,,,,,,work-246291183-1.jpg,
work-246291183-2,work-246291183,Kosciusko in Winter. (1 January 1900),Article/Journal or magazine article;Article,1900,,Wragge's Australasian almanac and weather guide for land and sea.,Australia/Queensland; Australia,https://trove.nla.gov.au/work/246291183,https://nla.gov.au/nla.obj-2914335172,,,"Almanacs, Australian.; Meteorology--Australia.",,image/jpeg,,,,,,work-246291183-2.jpg,
work-246291183-3,work-246291183,Kosciusko in Winter. (1 January 1900),Article/Journal or magazine article;Article,1900,,Wragge's Australasian almanac and weather guide for land and sea.,Australia/Queensland; Australia,https://trove.nla.gov.au/work/246291183,https://nla.gov.au/nla.obj-2914335172,,,"Almanacs, Australian.; Meteorology--Australia.",,image/jpeg,,,,,,work-246291183-3.jpg,
work-246291183-4,work-246291183,Kosciusko in Winter. (1 January 1900),Article/Journal or magazine article;Article,1900,,Wragge's Australasian almanac and weather guide for land and sea.,Australia/Queensland; Australia,https://trove.nla.gov.au/work/246291183,https://nla.gov.au/nla.obj-2914335172,,,"Almanacs, Australian.; Meteorology--Australia.",,image/jpeg,,,,,,work-246291183-4.jpg,
work-246291183-5,work-246291183,Kosciusko in Winter. (1 January 1900),Article/Journal or magazine article;Article,1900,,Wragge's Australasian almanac and weather guide for land and sea.,Australia/Queensland; Australia,https://trove.nla.gov.au/work/246291183,https://nla.gov.au/nla.obj-2914335172,,,"Almanacs, Australian.; Meteorology--Australia.",,image/jpeg,,,,,,work-246291183-5.jpg,
work-246291183-6,work-246291183,Kosciusko in Winter. (1 January 1900),Article/Journal or magazine article;Article,1900,,Wragge's Australasian almanac and weather guide for land and sea.,Australia/Queensland; Australia,https://trove.nla.gov.au/work/246291183,https://nla.gov.au/nla.obj-2914335172,,,"Almanacs, Australian.; Meteorology--Australia.",,image/jpeg,,,,,,work-246291183-6.jpg,
work-246291183-7,work-246291183,Kosciusko in Winter. (1 January 1900),Article/Journal or magazine article;Article,1900,,Wragge's Australasian almanac and weather guide for land and sea.,Australia/Queensland; Australia,https://trove.nla.gov.au/work/246291183,https://nla.gov.au/nla.obj-2914335172,,,"Almanacs, Australian.; Meteorology--Australia.",,image/jpeg,,,,,,work-246291183-7.jpg,
work-232831164,,Forecasting Seasons. (15 October 1908),Article/Journal or magazine article;Article,1908,,The Pastoralists' review : a journal and record of all matters affecting the pastoral and agricultural interests throughout Australasia.,Australia/Victoria; Australia,https://trove.nla.gov.au/work/232831164,https://nla.gov.au/nla.obj-555204569,,,Australia; Animal industry--Australia--Periodicals.; u-at,,image/jpeg,,,,,,work-232831164-0.jpg,
work-233084594,,KOSCIUSKO SUMMIT IN 1901 (1 June 1948),Article/Journal or magazine article;Article,1948,Australian Geographical Society. 124143 421c3670-a164-5721-8ebb-e16110b2ed57; J. H. L. CUMPSTON,Walkabout.; series: Rex Nan Kivell Collection,Australia/Victoria; Australia,https://trove.nla.gov.au/work/233084594,https://nla.gov.au/nla.obj-740683040,,,Australia--Description and travel--Periodicals.; Cultural heritage.--aiatsiss; New Zealand (NZ)--aiatsisp,,image/jpeg,,,,,,work-233084594-0.jpg,
work-232836699,,TELLS NEXT YEAR’S WEATHER Inigo Jones Works On Sunspots And Cycles (7 October 1939),Article/Journal or magazine article;Article,1939,,Pix.,Australia/New South Wales; Australia,https://trove.nla.gov.au/work/232836699,https://nla.gov.au/nla.obj-483677042,,,Sydney (N.S.W.)--Periodicals.,,compound_object,,,,,,,
work-232836699-0,work-232836699,TELLS NEXT YEAR’S WEATHER Inigo Jones Works On Sunspots And Cycles (7 October 1939),Article/Journal or magazine article;Article,1939,,Pix.,Australia/New South Wales; Australia,https://trove.nla.gov.au/work/232836699,https://nla.gov.au/nla.obj-483677042,,,Sydney (N.S.W.)--Periodicals.,,image/jpeg,,,,,,work-232836699-0.jpg,
work-232836699-1,work-232836699,TELLS NEXT YEAR’S WEATHER Inigo Jones Works On Sunspots And Cycles (7 October 1939),Article/Journal or magazine article;Article,1939,,Pix.,Australia/New South Wales; Australia,https://trove.nla.gov.au/work/232836699,https://nla.gov.au/nla.obj-483677042,,,Sydney (N.S.W.)--Periodicals.,,image/jpeg,,,,,,work-232836699-1.jpg,
work-232836699-2,work-232836699,TELLS NEXT YEAR’S WEATHER Inigo Jones Works On Sunspots And Cycles (7 October 1939),Article/Journal or magazine article;Article,1939,,Pix.,Australia/New South Wales; Australia,https://trove.nla.gov.au/work/232836699,https://nla.gov.au/nla.obj-483677042,,,Sydney (N.S.W.)--Periodicals.,,image/jpeg,,,,,,work-232836699-2.jpg,
work-232927227,,The Weather and the Crop. (15 April 1992),Article/Journal or magazine article;Article,1992,,"The sugar journal and tropical cultivator : circulating in Queensland, New South Wales, Fiji, Mauritius and other tropical and subtropical countries.",Australia/Queensland; Australia,https://trove.nla.gov.au/work/232927227,https://nla.gov.au/nla.obj-705866913,,,u-at-qn; Sugar growing--Queensland--Periodicals.; Sugarcane industry--Queensland--Periodicals.,,compound_object,,,,,,,
work-232927227-0,work-232927227,The Weather and the Crop. (15 April 1992),Article/Journal or magazine article;Article,1992,,"The sugar journal and tropical cultivator : circulating in Queensland, New South Wales, Fiji, Mauritius and other tropical and subtropical countries.",Australia/Queensland; Australia,https://trove.nla.gov.au/work/232927227,https://nla.gov.au/nla.obj-705866913,,,u-at-qn; Sugar growing--Queensland--Periodicals.; Sugarcane industry--Queensland--Periodicals.,,image/jpeg,,,,,,work-232927227-0.jpg,
work-232927227-1,work-232927227,The Weather and the Crop. (15 April 1992),Article/Journal or magazine article;Article,1992,,"The sugar journal and tropical cultivator : circulating in Queensland, New South Wales, Fiji, Mauritius and other tropical and subtropical countries.",Australia/Queensland; Australia,https://trove.nla.gov.au/work/232927227,https://nla.gov.au/nla.obj-705866913,,,u-at-qn; Sugar growing--Queensland--Periodicals.; Sugarcane industry--Queensland--Periodicals.,,image/jpeg,,,,,,work-232927227-1.jpg,
work-234220414,,CYCLONE (1 April 1972),Article/Journal or magazine article;Article,1972,Australian Geographical Society. 124143 421c3670-a164-5721-8ebb-e16110b2ed57; AUDREY M. ARMITAGE,Walkabout.; series: Rex Nan Kivell Collection,Australia/Victoria; Australia,https://trove.nla.gov.au/work/234220414,https://nla.gov.au/nla.obj-754991752,,,Australia--Description and travel--Periodicals.; Cultural heritage.--aiatsiss; New Zealand (NZ)--aiatsisp,,compound_object,,,,,,,
